owner_repo,last_commit_date,num_authors,num_committers,num_domains,time_to_commit_hours,num_changed,num_issue_authors,num_issue_domains,time_to_first_attention,last_created_issue_date,last_updated_issue_date,last_created_pr_date,last_updated_pr_date,age,num_lines,num_commits,num_files,num_core,num_regular,num_casual,size,num_stars,num_forks,num_subscribers,num_total_open_issues,num_closed_issue,time_closed_issue,num_closed_pr,time_closed_pr,num_open_issue,time_open_issue,num_open_pr,time_open_pr,info
bartobri/no-more-secrets,185,4659,123,231,User,False,252,1,7,14,,7,0,2,38,0,1,0,34,0,0,1529,0,0,0,0,0,0,12,,175
sqlcipher/sqlcipher,40344,4077,243,960,Organization,False,735,13,40,18,,0,0,9,294,3,14,6,50,0,1,4336,1,11,11886,2993,0,0,10,4,
FreeRDP/FreeRDP,41435,4374,333,1561,Organization,False,14365,6,32,262,,31,2,331,2688,67,174,30,3222,12,242,3272,15,463,25994,18500,0,0,8,17,
tmk/tmk_keyboard,24764,3017,209,1528,User,False,1586,10,4,60,,16,0,124,322,4,6,42,163,2,3,3594,2,97,32694,416405,0,0,37,,406
cloudius-systems/osv,20445,3062,302,554,Organization,False,8016,11,45,100,,35,5,310,703,7,12,0,67,0,3,2754,6,148,11591,4588,0,0,35,6,
vanhoefm/krackattacks-scripts,17604,2816,225,733,User,False,13280,1,0,212,,8,0,25,46,2,1,0,6,0,0,4490,1,1,79,27,0,0,54,,905
robotmedia/RMStore,11667,2350,92,443,Organization,False,354,1,13,16,,8,1,68,105,1,0,24,35,0,0,2509,0,0,0,0,0,0,44,1,
cmus/cmus,5836,3782,117,410,Organization,False,2159,6,56,111,,27,1,203,489,24,7,15,276,5,0,5393,2,2,19,14,0,0,2,2,
ms-iot/samples,295111,1210,298,1443,Organization,False,1657,7,4,58,,7,0,23,128,0,0,5,390,0,0,1872,0,0,0,0,0,0,191,5,
msysgit/msysgit,225005,1866,226,632,Organization,False,1245,27,71,58,,9,0,0,209,0,0,0,123,0,0,4693,0,0,0,0,0,0,5,9,
P-H-C/phc-winner-argon2,5865,3155,122,257,Organization,False,640,4,6,61,,7,0,30,86,1,2,8,162,2,1,1711,1,1,1,1,0,0,2,3,
alibaba/tsar,2457,2136,280,699,Organization,False,404,2,0,22,,6,2,10,47,2,1,0,47,0,3,2705,3,3,115,92,0,0,318,151,
universal-ctags/ctags,15215,3710,103,378,Organization,False,7838,18,0,126,,17,6,135,662,21,43,29,1732,3,125,5015,8,385,37112,253606,0,0,11,8,
madler/zlib,3753,2457,162,1375,User,False,419,2,72,17,,0,0,96,122,22,6,147,137,16,2,3629,0,0,0,0,0,0,8,,350
