full_name,size,formats,files,mirror_url,archived,disabled,info
CrowleyRajapakse/DyslexiaFriendlyBuddy-ALEXZA,111491,"{'': 3, 'xml': 89, 'ser': 1, 'md': 1, 'gitignore': 1, 'gradle': 3, 'jar': 2, 'pro': 1, 'apk': 1, 'json': 1, 'java': 26, 'aiml': 25, 'txt': 30, 'save': 1, 'external': 2, 'ttf': 18, 'jpg': 158, 'png': 23, 'jpeg': 5, 'properties': 2, 'bat': 1}",394,,False,False,
jenkinsci/label-verifier-plugin,122,"{'yml': 1, '': 3, 'config': 1, 'md': 1, 'keep': 1, 'png': 1, 'xml': 1, 'java': 17, 'jelly': 9, 'html': 3, 'properties': 1}",39,,False,False,
ga4gh-discovery/service-registry-impl,445,"{'': 10, 'yml': 3, 'md': 2, 'gradle': 4, 'jar': 2, 'properties': 4, 'bat': 2, 'java': 29, 'yaml': 1, 'config': 1, 'env': 1}",59,,False,False,ga4gh-discovery/ga4gh-service-registry-impl
LineageOS/android_lineage-sdk,8640,"{'': 2, 'bp': 6, 'mk': 3, 'md': 4, 'txt': 4, 'java': 179, 'cpp': 2, 'xml': 169, 'png': 26, 'flags': 2, 'gitignore': 2, 'iml': 2, 'gradle': 3, 'pro': 1, 'properties': 2, 'jar': 1, 'bat': 1, 'aidl': 23}",432,,False,False,
jpush/jsms-react-native,6346,"{'': 7, 'plist': 9, 'md': 2, 'gradle': 4, 'java': 28, 'txt': 4, 'class': 137, 'store': 1, 'xml': 13, 'properties': 4, 'jar': 4, 'json': 9, 'iml': 2, 'pro': 2, 'babelrc': 1, 'buckconfig': 1, 'flowconfig': 1, 'gitattributes': 1, 'gitignore': 1, 'watchmanconfig': 1, 'js': 3, 'png': 10, 'bat': 1, 'pbxproj': 2, 'xcworkspacedata': 2, 'xcscheme': 2, 'xcbkptlist': 1, 'h': 4, 'm': 4, 'xib': 1, 'xcuserstate': 1, 'a': 1}",264,,False,False,
adessoAG/Git-Intel-Spring,24806,"{'': 3, 'bin': 3, 'properties': 2, 'xml': 3, 'md': 1, 'gradle': 2, 'jar': 1, 'bat': 1, 'java': 165}",181,,False,False,
brarcher/video-transcoder,44514,"{'': 4, 'yml': 1, 'md': 4, 'gitignore': 1, 'gradle': 3, 'xml': 27, 'aar': 1, 'pro': 1, 'java': 23, 'aidl': 1, 'png': 34, 'flv': 1, 'mkv': 1, 'mp4': 1, 'py': 1, 'properties': 2, 'jar': 1, 'bat': 1, 'txt': 3, 'ai': 2, 'svg': 1, 'xcf': 1}",115,,False,False,
hendraanggrian/socialview,14281,"{'': 3, 'yml': 1, 'md': 1, 'png': 11, 'gif': 6, 'kts': 6, 'gitignore': 4, 'kt': 21, 'xml': 24, 'pro': 1, 'java': 13, 'properties': 2, 'jar': 1, 'bat': 1}",95,,False,False,
kanonizo/kanonizo,19915,"{'': 2, 'yml': 1, 'md': 1, 'class': 20, 'gitignore': 3, 'sh': 1, 'xml': 10, 'java': 135, 'fxml': 2, 'jar': 3, 'MF': 2, 'properties': 2}",182,,False,False,
foss-for-synopsys-dwc-arc-processors/arc_gnu_eclipse,3399,"{'': 1, 'txt': 1, 'xml': 42, 'gitignore': 6, 'sh': 1, 'classpath': 3, 'project': 5, 'prefs': 8, 'MF': 4, 'properties': 38, 'gif': 4, 'jar': 4, 'java': 72, 'html': 2, 'png': 1, 'lds': 8, 'tcf': 32, 'c': 6, 'cpp': 5, 'ini': 1, 'S': 4, 'qft': 1}",249,,False,False,
metadatacenter/cedar-template-server,1004,"{'': 1, 'xml': 6, 'yml': 3, 'md': 2, 'java': 48, 'txt': 2, 'properties': 1, 'json': 21, 'jsonld': 1}",85,,False,False,metadatacenter/cedar-artifact-server
LineageOS/android_packages_apps_KeyChain,916,"{'bp': 3, 'xml': 99, '': 1, 'mk': 1, 'properties': 1, 'java': 13, 'aidl': 1}",119,,False,False,
rmpestano/tdc-pipeline,3261,"{'': 4, 'yml': 3, 'adoc': 1, 'sh': 2, 'conf': 1, 'png': 15, 'xml': 10, 'gdsl': 1, 'java': 30, 'properties': 3, 'sql': 2, 'xhtml': 10, 'css': 1, 'ico': 1, 'jpg': 1, 'csv': 1, 'feature': 2, 'json': 1, 'scala': 1, 'groovy': 1}",91,,False,False,
react-native-studio/react-native-SmartRefreshLayout,6243,"{'': 6, 'js': 16, 'babelrc': 1, 'buckconfig': 1, 'flowconfig': 1, 'gitattributes': 1, 'gitignore': 2, 'watchmanconfig': 1, 'gradle': 4, 'pro': 2, 'xml': 6, 'ttf': 11, 'java': 18, 'png': 6, 'properties': 3, 'jar': 1, 'bat': 1, 'json': 8, 'plist': 4, 'pbxproj': 1, 'xcscheme': 2, 'h': 1, 'm': 3, 'xib': 1, 'gif': 2, 'lock': 1, 'md': 4, 'iml': 1, 'ts': 1}",110,,False,False,
dbmdz/iiif-apis,624,"{'': 2, 'yml': 1, 'md': 1, 'xml': 3, 'java': 103, 'types': 1, 'json': 60}",171,,False,False,
SOBotics/JukeBox,28,"{'': 1, 'md': 1, 'xml': 1, 'csv': 1, 'java': 1}",5,,False,False,
mpalourdio/SpringBootTemplate,519,"{'': 3, 'java': 97, 'jar': 1, 'properties': 5, 'yml': 1, 'md': 2, 'p12': 1, 'cmd': 1, 'xml': 2, 'sql': 2, 'txt': 1, 'html': 1}",117,,False,False,
wapchief/android-CollectionDemo,72131,"{'': 2, 'name': 1, 'xml': 83, 'bak': 1, 'md': 2, 'gitignore': 1, 'gradle': 3, 'jar': 6, 'pro': 1, 'java': 75, 'json': 6, 'png': 42, 'so': 43, 'jpg': 1, 'properties': 2, 'bat': 1}",270,,False,False,
Financial-Times/api-policy-component,872,"{'yml': 3, '': 3, 'md': 2, 'markdown': 2, 'yaml': 7, 'xml': 4, 'java': 85, 'json': 15, 'feature': 1, 'helmignore': 1, 'tpl': 1}",124,,False,False,
SK-EID/smart-id-documentation,6347,"{'md': 1, 'zip': 2, 'pdf': 1, 'php': 1, 'c': 1, 'java': 1, 'png': 5, 'ai': 1}",13,,False,False,
bobbylight/RText,60472,"{'': 3, 'nsi': 1, 'md': 1, 'gradle': 1, 'xml': 8, 'txt': 11, 'properties': 582, 'jar': 6, 'bat': 1, 'icns': 1, 'sh': 2, 'png': 86, 'ico': 1, 'html': 95, 'jpg': 3, 'zip': 1, 'js': 3, 'groovy': 2, 'unix': 1, 'java': 258, 'svg': 34, 'gif': 26, 'dtd': 1}",1128,,False,False,
alphagov/verify-event-emitter,256,"{'': 4, 'yml': 1, 'md': 1, 'gradle': 2, 'jar': 1, 'properties': 1, 'bat': 1, 'sh': 1, 'java': 48}",60,,False,False,
cuplv/chimpcheck,20123,"{'': 9, 'sbt': 8, 'properties': 9, 'proto': 8, 'scala': 30, 'txt': 12, 'sh': 9, 'bash': 7, 'conf': 5, 'jar': 5, 'gitignore': 6, 'gradle': 7, 'pro': 3, 'java': 45, 'xml': 21, 'png': 17, 'bat': 2, 'js': 9, 'md': 5, 'json': 3, 'ico': 1, 'html': 1, 'css': 3, 'jpeg': 1, 'svg': 1, 'apk': 6, 'jade': 3}",236,,False,False,
Paroca72/sc-gauges,19156,"{'bin': 7, 'lock': 5, 'xml': 31, 'iml': 3, 'md': 16, 'yml': 1, 'gitignore': 2, 'gradle': 4, 'pro': 2, 'java': 13, 'png': 28, 'css': 4, 'js': 9, 'jpg': 48, 'gif': 8, 'html': 39, '': 2, 'properties': 3, 'jar': 1, 'bat': 1}",227,,False,False,
wso2-extensions/identity-oauth-addons,723,"{'': 3, 'yml': 1, 'md': 4, 'xml': 17, 'java': 43, 'properties': 2, 'sql': 1, 'jks': 3, 'txt': 1, 'inf': 1}",76,,False,False,
CSD-FOSS-Team/hangman,1943,"{'': 3, 'yml': 1, 'md': 1, 'txt': 4, 'ttf': 1, 'png': 18, 'gif': 1, 'psd': 1, 'jar': 1, 'xml': 1, 'java': 22, 'css': 1}",55,,False,False,
eclipse/texlipse,3028,"{'': 3, 'prefs': 15, 'md': 5, 'setup': 1, 'svg': 1, 'target': 1, 'tpd': 1, 'cvsignore': 1, 'eps': 9, 'fig': 4, 'dia': 5, 'bib': 1, 'tex': 7, 'pdf': 1, 'project': 3, 'xml': 10, 'html': 21, 'properties': 5, 'classpath': 1, 'gitignore': 1, 'MF': 1, 'ini': 1, 'cpp': 1, 'h': 1, 'dll': 1, 'sh': 1, 'png': 1, 'css': 1, 'gif': 264, 'DS_Store': 2, 'grammar': 2, 'exsd': 2, 'java': 337, 'dat': 3}",714,,False,False,
utPLSQL/utPLSQL-java-api,599,"{'': 3, 'xml': 3, 'yml': 1, 'sh': 4, 'md': 3, 'kts': 2, 'jar': 1, 'properties': 1, 'bat': 1, 'java': 63, 'version': 1}",83,,False,False,
pvanassen/ns-api,356,"{'': 2, 'yml': 1, 'md': 1, 'xml': 19, 'java': 48}",71,,True,False,
CS2340-Fall2018-Team74/Donation-Tracker,2871,"{'': 5, 'ser': 1, 'xml': 44, 'pdf': 2, 'docx': 2, 'md': 1, 'txt': 1, 'gitignore': 1, 'gradle': 3, 'json': 1, 'pro': 1, 'java': 23, 'png': 3, 'jpeg': 1, 'properties': 2, 'jar': 1, 'bat': 1}",93,,False,False,
HungryPants/AlphaAcademy,1908,"{'': 2, 'ser': 1, 'xml': 41, 'gitignore': 1, 'gradle': 3, 'json': 1, 'pro': 1, 'java': 18, 'png': 21, 'jpg': 5, 'ttf': 1, 'properties': 2, 'jar': 2, 'bat': 1}",100,,False,False,
eclipse/rt.equinox.p2,84620,"{'': 5, 'gitignore': 68, 'classpath': 56, 'project': 76, 'prefs': 173, 'MF': 96, 'xml': 392, 'html': 72, 'properties': 231, 'txt': 142, 'java': 1901, 'launch': 30, 'jar': 306, 'ini': 25, 'exsd': 10, 'options': 3, 'product': 42, 'xsd': 1, 'gif': 31, 'api_filters': 3, 'gz': 56, 'jbdiff': 4, 'exe': 6, 'njar': 4, 'zip': 22, 'sar': 2, 'jardesc': 1, 'inf': 15, 'tests/testData/EquinoxExecutableActionTest/linux/eclipse': 1, 'xpm': 1, 'plist': 1, 'app/Contents/MacOS/eclipse': 1, 'icns': 7, 'ico': 8, 'profile': 17, 'eclipseproduct': 1, 'blobstore/5e/00c3579a3138001f1093800c21638bce': 1, 'lock': 5, 'RSA': 2, 'SF': 2, 'bar': 1, 'p2f': 3, 'p2': 7, 'index': 22, 'prop': 2, 'eclipseextension': 4, 'info': 10, 'off': 1, 'opb': 2, 'link': 1, '0': 1, 'xz': 10, 'sh': 4, 'bat': 1, 'png': 96, 'bmp': 7, 'jpg': 1, 'target': 3}",3996,git://git.eclipse.org/gitroot/equinox/rt.equinox.p2.git,False,False,
jonathanpalma/react-native-tesseract-ocr,984,"{'yml': 1, '': 6, 'md': 1, 'gradle': 4, 'xml': 4, 'java': 4, 'babelrc': 1, 'buckconfig': 1, 'flowconfig': 1, 'gitattributes': 1, 'gitignore': 1, 'watchmanconfig': 1, 'pro': 1, 'png': 10, 'properties': 3, 'jar': 1, 'bat': 1, 'json': 5, 'js': 7, 'plist': 4, 'pbxproj': 2, 'xcscheme': 2, 'h': 2, 'm': 4, 'xib': 1, 'lock': 1}",70,,False,False,
goFrendiAsgard/kuliah-2.0,381333,"{'': 29, 'json': 14, 'md': 23, 'pdf': 77, 'class': 16, 'java': 14, 'js': 12, 'py': 31, 'csv': 9, 'ods': 3, 'sql': 1, 'jpeg': 5, 'jpg': 4, 'txt': 4, 'cpp': 20, 'sh': 8, 'php': 3, 'png': 19, 'pyc': 3, 'bin': 1, 'odt': 3, 'ipynb': 4, 'csv#': 1, 'odp': 8, 'env': 3, 'dia': 1}",316,,False,False,
k3b/ToGoZip,951,"{'': 3, 'yml': 1, 'md': 1, 'gitignore': 4, 'gradle': 6, 'pro': 2, 'xml': 78, 'java': 47, 'png': 25, 'properties': 3, 'py': 1, 'txt': 76, 'setting': 1, 'jar': 1, 'bat': 1, 'ini': 1}",251,,False,False,
rodrigo-brito/fire-todo,2015,"{'': 2, 'name': 1, 'xml': 79, 'md': 1, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 16, 'png': 10, 'properties': 2, 'jar': 1, 'bat': 1}",118,,False,False,
newforce-newttl/SMT_EPS,,,,,,,API rate limit exceeded for 185.220.101.2. (But here's the good news: Authenticated requests get a higher rate limit. Check out the documentation for more details.)
Reading-eScience-Centre/edal-java,,,,,,,API rate limit exceeded for 185.220.101.2. (But here's the good news: Authenticated requests get a higher rate limit. Check out the documentation for more details.)
filoghost/ChestCommands,716,"{'md': 5, 'yml': 5, '': 1, 'txt': 2, 'xml': 2, 'java': 85}",100,,False,False,
nss-lab/DELTA,,,,,,,Not Found
getgauge/gauge-mvn-archetypes,112,"{'yml': 2, '': 1, 'md': 5, 'xml': 9, 'gitignore': 4, 'properties': 14, 'json': 4, 'spec': 4, 'java': 8, 'txt': 2, 'sh': 1}",54,,False,False,
visualDust/Randomer,5290,"{'': 2, 'xml': 9, 'md': 4, 'iml': 1, 'TTF': 1, 'MF': 2, 'java': 22, 'kt': 1}",42,,False,False,
mzaart/AQuery,74,"{'txt': 1, 'md': 1, 'jar': 1, 'html': 33, '': 1, 'js': 1, 'css': 1, 'java': 11}",50,,False,False,
ably/ably-java,7111,"{'': 6, 'yml': 1, 'md': 2, 'gitignore': 2, 'gradle': 9, 'txt': 1, 'java': 158, 'xml': 1, 'sh': 4, 'properties': 2, 'jar': 1, 'bat': 1, 'js': 1, 'json': 1, 'src': 1}",191,,False,False,
sos-berlin/commons,4072,"{'': 1, 'md': 1, 'gitignore': 11, 'xml': 24, 'java': 734, 'txt': 4, 'xsd': 11, 'xsl': 12, 'doxyfile': 7, 'sosdoc': 1, 'png': 1, 'kdbx': 1, 'key': 2, 'kdb': 1, 'properties': 4, 'json': 4, 'MF': 1, 'conf': 1}",821,,False,False,
improbable-research/keanu,15461,"{'yaml': 4, '': 12, 'md': 243, 'yml': 3, 'gradle': 15, 'java': 878, 'sh': 12, '04/Dockerfile': 1, 'enc': 1, 'ftl': 3, 'txt': 52, 'gitignore': 6, 'lock': 1, 'py': 87, 'psd': 1, 'html': 134, 'scss': 37, 'svg': 1, 'ttf': 1, 'woff': 1, 'json': 8, 'png': 131, 'gif': 14, 'js': 138, 'ico': 1, 'buildinfo': 12, 'inv': 13, 'css': 52, 'kt': 19, 'properties': 5, 'jar': 1, 'bat': 2, 'csv': 8, 'MD': 1, 'proto': 3, 'dot': 8, 'yapf': 1, 'yapfignore': 1, 'in': 2, 'rst': 5, 'pyi': 88, 'ini': 2}",2008,,False,False,
yaw/swing-spring-jpa-crud,217,"{'': 3, 'prefs': 3, 'md': 1, 'xml': 3, 'java': 27, 'MF': 1, 'properties': 1, 'png': 1, 'jnlp': 1}",41,,False,False,
