full_name,size,formats,files,mirror_url,archived,disabled,info
git/git,142076,"{'yml': 3, '': 463, 'md': 6, 'txt': 744, 'conf': 3, 'rb': 1, 'perl': 29, 'css': 2, 'xsl': 6, 'txto': 2, 'sh': 1055, 'in': 9, '1': 1, 'c': 482, 'm4': 1, 'h': 228, 'sample': 13, 'bat': 3, 'pl': 16, 'manifest': 1, 'dev': 1, 'uname': 1, 'ac': 1, 'pm': 25, 'cocci': 12, 'bash': 1, 'tcsh': 1, 'zsh': 1, 'command-option-gpg': 1, 'git-config-gpg': 1, 'netrc': 1, 'gpg': 2, 'el': 2, 'README': 1, 'py': 5, 'rst': 6, 'Git': 1, 'migrate-from-post-receive-email': 1, 'example': 1, 'php': 2, 'config': 1, 'go': 4, 'tcl': 41, 'ico': 1, 'js': 7, 'plist': 1, 'icns': 1, 'po': 52, 'pot': 3, 'rc': 1, 'png': 4, 'S': 1, 't': 7, 'sed': 1, 'expect': 56, 'test': 41, 'p12': 1, 'cnf': 1, 'pdf': 1, 'export': 2, 'subjectprefix_DIFFERENT_PREFIX': 1, 'diff-tree_--cc_--patch-with-stat_--summary_master': 1, 'diff-tree_--cc_--patch-with-stat_--summary_side': 1, 'diff-tree_--cc_--patch-with-stat_master': 1, 'diff-tree_--cc_--shortstat_master': 1, 'diff-tree_--cc_--stat_--summary_master': 1, 'diff-tree_--cc_--stat_--summary_side': 1, 'diff-tree_--cc_--stat_master': 1, 'diff-tree_--cc_--summary_REVERSE': 1, 'diff-tree_--cc_master': 1, 'diff-tree_--format=%N_note': 1, 'diff-tree_--patch-with-raw_initial': 1, 'diff-tree_--patch-with-stat_initial': 1, 'diff-tree_--pretty=oneline_--patch-with-raw_initial': 1, 'diff-tree_--pretty=oneline_--patch-with-stat_initial': 1, 'diff-tree_--pretty=oneline_--root_--patch-with-raw_initial': 1, 'diff-tree_--pretty=oneline_--root_--patch-with-stat_initial': 1, 'diff-tree_--pretty=oneline_--root_-p_initial': 1, 'diff-tree_--pretty=oneline_--root_initial': 1, 'diff-tree_--pretty=oneline_-p_initial': 1, 'diff-tree_--pretty=oneline_initial': 1, 'diff-tree_--pretty_--notes_note': 1, 'diff-tree_--pretty_--patch-with-raw_initial': 1, 'diff-tree_--pretty_--patch-with-stat_initial': 1, 'diff-tree_--pretty_--patch-with-stat_side': 1, 'diff-tree_--pretty_--root_--patch-with-raw_initial': 1, 'diff-tree_--pretty_--root_--patch-with-stat_initial': 1, 'diff-tree_--pretty_--root_--stat_--compact-summary_initial': 1, 'diff-tree_--pretty_--root_--stat_--summary_initial': 1, 'diff-tree_--pretty_--root_--stat_initial': 1, 'diff-tree_--pretty_--root_--summary_-r_initial': 1, 'diff-tree_--pretty_--root_--summary_initial': 1, 'diff-tree_--pretty_--root_-p_initial': 1, 'diff-tree_--pretty_--root_initial': 1, 'diff-tree_--pretty_--stat_--summary_initial': 1, 'diff-tree_--pretty_--stat_initial': 1, 'diff-tree_--pretty_--summary_initial': 1, 'diff-tree_--pretty_-R_--root_--stat_--compact-summary_initial': 1, 'diff-tree_--pretty_-p_initial': 1, 'diff-tree_--pretty_-p_side': 1, 'diff-tree_--pretty_initial': 1, 'diff-tree_--pretty_note': 1, 'diff-tree_--pretty_side': 1, 'diff-tree_--root_--abbrev_initial': 1, 'diff-tree_--root_--patch-with-raw_initial': 1, 'diff-tree_--root_--patch-with-stat_initial': 1, 'diff-tree_--root_-p_initial': 1, 'diff-tree_--root_-r_--abbrev=4_initial': 1, 'diff-tree_--root_-r_--abbrev_initial': 1, 'diff-tree_--root_-r_initial': 1, 'diff-tree_--root_initial': 1, 'diff-tree_--stat_--compact-summary_initial_mode': 1, 'diff-tree_--stat_initial_mode': 1, 'diff-tree_--summary_initial_mode': 1, 'diff-tree_-R_--stat_--compact-summary_initial_mode': 1, 'diff-tree_-c_--abbrev_master': 1, 'diff-tree_-c_--stat_--summary_master': 1, 'diff-tree_-c_--stat_--summary_side': 1, 'diff-tree_-c_--stat_master': 1, 'diff-tree_-c_master': 1, 'diff-tree_-p_-m_master': 1, 'diff-tree_-p_initial': 1, 'diff-tree_-p_master': 1, 'diff-tree_-r_--abbrev=4_initial': 1, 'diff-tree_-r_--abbrev_initial': 1, 'diff-tree_-r_initial': 1, 'diff-tree_initial': 1, 'diff-tree_initial_mode': 1, 'diff-tree_master': 1, 'side': 18, 'diff_--cached': 1, 'diff_--cached_--_file0': 1, 'diff_--dirstat-by-file_initial_rearrange': 1, 'diff_--dirstat_--cc_master~1_master': 1, 'diff_--dirstat_initial_rearrange': 1, 'diff_--dirstat_master~1_master~2': 1, 'diff_--line-prefix=abc_master_master^_side': 1, 'diff_--line-prefix_--cached_--_file0': 1, 'diff_--name-status_dir2_dir': 1, 'diff_--no-index_--name-status_--_dir2_dir': 1, 'diff_--no-index_--name-status_dir2_dir': 1, 'diff_--no-index_--raw_--abbrev=4_dir2_dir': 1, 'diff_--no-index_--raw_--no-abbrev_dir2_dir': 1, 'diff_--no-index_--raw_dir2_dir': 1, 'diff_--no-index_dir_dir3': 1, 'diff_--raw_--abbrev=4_initial': 1, 'diff_--raw_--no-abbrev_initial': 1, 'diff_--raw_initial': 1, 'diff_master_master^_side': 1, 'master': 9, 'master^': 4, 'master^^': 1, 'log_--decorate=full_--all': 1, 'log_--decorate_--all': 1, 'log_--patch-with-stat_--summary_master_--_dir_': 1, 'log_--patch-with-stat_master': 1, 'log_--patch-with-stat_master_--_dir_': 1, 'log_--root_--cc_--patch-with-stat_--summary_master': 1, 'log_--root_--patch-with-stat_--summary_master': 1, 'log_--root_--patch-with-stat_master': 1, 'log_--root_-c_--patch-with-stat_--summary_master': 1, 'log_--root_-p_master': 1, 'log_--root_master': 1, 'log_-GF_-p_--pickaxe-all_master': 1, 'log_-GF_-p_master': 1, 'log_-GF_master': 1, 'log_-SF_-p_master': 1, 'log_-SF_master': 1, 'log_-SF_master_--max-count=0': 1, 'log_-SF_master_--max-count=1': 1, 'log_-SF_master_--max-count=2': 1, 'log_-S_F_master': 1, 'log_-m_-p_--first-parent_master': 1, 'log_-m_-p_master': 1, 'log_-p_--first-parent_master': 1, 'log_-p_master': 1, 'log_master': 1, 'noellipses-diff-tree_--root_--abbrev_initial': 1, 'noellipses-diff-tree_--root_-r_--abbrev=4_initial': 1, 'noellipses-diff-tree_--root_-r_--abbrev_initial': 1, 'noellipses-diff-tree_-c_--abbrev_master': 1, 'noellipses-diff_--no-index_--raw_--abbrev=4_dir2_dir': 1, 'noellipses-diff_--no-index_--raw_dir2_dir': 1, 'noellipses-diff_--raw_--abbrev=4_initial': 1, 'noellipses-diff_--raw_initial': 1, 'noellipses-show_--patch-with-raw_side': 1, 'noellipses-whatchanged_--root_master': 1, 'noellipses-whatchanged_-SF_master': 1, 'noellipses-whatchanged_master': 1, 'rev-list_--children_HEAD': 1, 'rev-list_--parents_HEAD': 1, 'show_--first-parent_master': 1, 'show_--patch-with-raw_side': 1, 'show_--patch-with-stat_--summary_side': 1, 'show_--patch-with-stat_side': 1, 'show_--root_initial': 1, 'show_--stat_--summary_side': 1, 'show_--stat_side': 1, 'show_-c_master': 1, 'show_-m_master': 1, 'show_initial': 1, 'show_master': 1, 'show_side': 1, 'whatchanged_--patch-with-stat_--summary_master_--_dir_': 1, 'whatchanged_--patch-with-stat_master': 1, 'whatchanged_--patch-with-stat_master_--_dir_': 1, 'whatchanged_--root_--cc_--patch-with-stat_--summary_master': 1, 'whatchanged_--root_--patch-with-stat_--summary_master': 1, 'whatchanged_--root_--patch-with-stat_master': 1, 'whatchanged_--root_-c_--patch-with-stat_--summary_master': 1, 'whatchanged_--root_-p_master': 1, 'whatchanged_--root_master': 1, 'whatchanged_-SF_-p_master': 1, 'whatchanged_-SF_master': 1, 'whatchanged_-p_master': 1, 'whatchanged_master': 1, 'NUL': 1, 'patch': 18, '0-1': 1, '0-2': 1, '0-3': 1, '1-0': 1, '1-2': 1, '1-3': 1, '2-0': 1, '2-1': 1, '2-3': 1, '3-0': 1, '3-1': 1, '3-2': 1, 'diff': 18, 'beginning-of-file': 2, 'end-of-file': 2, 'move-support-f': 2, 'multiple': 2, 'multiple-overlapping': 2, 'multiple-superset': 2, 'parallel-change-f-to-main': 2, 'simple-f': 2, 'simple-f-to-main': 2, 'simple-main': 2, 'simple-main-to-end': 2, 'two-ranges': 2, 'vanishes-early': 2, 'orig': 1, 'tar': 3, 'zip': 3, 'mbox': 2, 'mboxrd': 1, 'midx': 1, 'br-branches-default': 2, 'br-branches-default-merge': 2, 'br-branches-default-merge_branches-default': 2, 'br-branches-default-octopus': 2, 'br-branches-default-octopus_branches-default': 2, 'br-branches-default_branches-default': 2, 'br-branches-one': 2, 'br-branches-one-merge': 2, 'br-branches-one-merge_branches-one': 2, 'br-branches-one-octopus': 2, 'br-branches-one-octopus_branches-one': 2, 'br-branches-one_branches-one': 2, 'br-config-explicit': 2, 'br-config-explicit-merge': 2, 'br-config-explicit-merge_config-explicit': 2, 'br-config-explicit-octopus': 2, 'br-config-explicit-octopus_config-explicit': 2, 'br-config-explicit_config-explicit': 2, 'br-config-glob': 2, 'br-config-glob-merge': 2, 'br-config-glob-merge_config-glob': 2, 'br-config-glob-octopus': 2, 'br-config-glob-octopus_config-glob': 2, 'br-config-glob_config-glob': 2, 'br-remote-explicit': 2, 'br-remote-explicit-merge': 2, 'br-remote-explicit-merge_remote-explicit': 2, 'br-remote-explicit-octopus': 2, 'br-remote-explicit-octopus_remote-explicit': 2, 'br-remote-explicit_remote-explicit': 2, 'br-remote-glob': 2, 'br-remote-glob-merge': 2, 'br-remote-glob-merge_remote-glob': 2, 'br-remote-glob-octopus': 2, 'br-remote-glob-octopus_remote-glob': 2, 'br-remote-glob_remote-glob': 2, 'br-unconfig': 2, 'git': 8, 'git_one': 4, 'git_one_tag_tag-one_tag_tag-three-file': 4, 'git_one_two': 4, 'git_tag_tag-one-tree_tag_tag-three-file': 4, 'git_tag_tag-one_tag_tag-three': 4, 'br-unconfig_branches-default': 2, 'br-unconfig_branches-one': 2, 'br-unconfig_config-explicit': 2, 'br-unconfig_config-glob': 2, 'br-unconfig_remote-explicit': 2, 'br-unconfig_remote-glob': 2, 'master_branches-default': 2, 'master_branches-one': 2, 'master_config-explicit': 2, 'master_config-glob': 2, 'master_remote-explicit': 2, 'master_remote-glob': 2, 'dump': 12, 'txt,v': 6, 'supp': 1}",3777,,False,False,
asicudl/campusvirtual,136843,"{'': 109, 'md': 56, 'xml': 1570, 'properties': 3740, 'so': 1, 'sh': 17, 'html': 1273, 'war': 2, 'yml': 2, 'java': 5973, 'sql': 602, 'css': 388, 'gif': 1170, 'png': 5685, 'js': 1624, 'x': 1, 'vm': 360, 'MD': 1, 'scss': 405, 'jsp': 626, 'patch': 6, 'txt': 234, 'jsfdia': 1, 'xhtml': 11, 'config': 30, 'htm': 14, 'xls': 10, 'git': 1, 'php': 71, 'imscc': 3, 'doc': 39, 'zip': 12, 'psd': 7, 'less': 9, 'sample': 1, 'conf': 7, 'ttf': 47, 'xsl': 32, 'dtd': 1, 'jspf': 32, 'json': 44, 'map': 4, 'pl': 14, 'umr': 1, 'apt': 26, 'fml': 4, 'header': 2, 'handlebars': 17, 'tld': 17, 'jmx': 12, 'jpg': 129, 'csv': 3, 'xlsx': 1, 'eot': 17, 'svg': 14, 'woff': 11, 'PNG': 3, 'bat': 6, 'xsd': 5, 'mp3': 2, 'odt': 1, 'pdf': 25, 'ppt': 1, 'rtf': 2, 'diff': 2, 'NOTES': 1, 'SHOWPAGE': 1, 'disabled': 2, 'swf': 133, 'sar': 1, 'log': 1, 'hbs': 8, 'graffle': 14, 'htc': 4, 'ldif': 1, 'script': 1, 'bin': 1, 'gz': 1, 'pem': 1, 'dia': 1, 'woff2': 7, 'asp': 11, 'cfm': 14, 'ascx': 1, 'aspx': 3, 'cfc': 3, 'lasso': 6, 'cgi': 2, 'py': 11, 'TXT': 10, 'afp': 1, 'db': 2, 'otf': 1, 'pxm': 6, 'php-dist': 2, 'types': 2, 'wav': 1, 'ico': 2, 'QA': 1, 'xslt': 7, 'Macro': 2, 'tag': 3, 'fla': 1, 'swd': 1, 'library': 1, 'jj': 1, 'testfile': 1, 'version': 1, 'tex': 1, 'rb': 2, 'groovy': 1, 'radeox': 1, 'radeox-api': 1, 'Filter': 1, 'SourceCodeFormatter': 1, 'ListFormatter': 1, 'Function': 1, 'test': 1, 'MF': 1, 'inc': 2, 'mysql': 1, 'oracle': 1, 'channel': 1, 'cpd': 1, 'channel-type': 1, 'jpage': 1, 'cf': 1, 'jws': 1, 'phps': 4, 'jar': 2, 'class': 2, 'prpt': 1}",24842,,False,False,
vanhoefm/krackattacks-scripts,17604,"{'': 92, 'mk': 7, 'md': 4, 'h': 286, 'doxygen': 12, 'conf': 50, 'fig': 2, 'dot': 3, 'pem': 52, 'c': 465, 'key': 28, 'config': 4, 'txt': 21, 'milenage_db': 2, '8': 1, 'accept': 2, 'rc': 1, 'deny': 1, 'eap_user': 1, 'eap_user_sqlite': 1, 'radius_clients': 1, 'sim_db': 1, 'vlan': 4, 'wpa_psk': 2, '1': 1, 'py': 139, 'xml': 8, 'sh': 35, 'cnf': 5, 'oid': 1, 'png': 2, 'php': 12, 'pcapng': 2, 'mak': 3, 'rules': 1, 'dat': 13, 'der': 4, 'gsm': 1, 'attr': 4, 'req': 3, 'der-invalid': 1, 'csr': 5, 'pkcs12': 5, 'pkcs8': 1, 'pkcs5v15': 1, 'rsa-key': 1, 'radius': 1, 'macaddr': 1, 'cpp': 16, 'aidl': 3, 'in': 6, 'sgml': 8, 'vcproj': 6, 'sln': 1, 'reg': 1, 'ui': 6, 'qrc': 2, 'svg': 5, 'ts': 1, 'desktop': 1, 'pro': 1, 'properties': 1, 'java': 13}",1364,,False,False,
ES-PL4-2018/gate-project-pl4,171006,"{'': 13, 'md': 349, 'pdf': 40, 'png': 29, 'pptx': 1, 'bat': 1, 'latex': 1, 'odg': 1, 'svg': 1, 'jpg': 30, 'zip': 3, 'docx': 1, 'xlsx': 2, 'jar': 1, 'gradle': 2, 'xml': 53, 'java': 42, 'ttf': 1, 'otf': 1, 'apk': 10}",582,,False,False,
escalade/LEDE,150815,"{'': 1316, 'in': 75, 'default': 4, 'pem': 1, 'conf': 21, 'secrets': 1, 'sh': 206, 'template': 3, 'mk': 310, 'txt': 36, 'specs': 1, 'awk': 2, 'failsafe': 2, 'common': 1, 'local': 1, 'cfg': 7, 'patch': 4431, 'config': 22, 'defaults': 2, 'init': 29, 'h': 347, 'c': 698, 'S': 20, 'lds': 16, 'diff': 1, 'supp': 1, 'qca4019': 11, 'qca9888': 2, 'hotplug': 9, 'm4': 35, 'user': 2, 'script': 3, 'json': 5, 'am': 1, 'upgrade': 2, 'options': 1, 'pptp': 1, 'asnet': 1, 'microsoft': 1, 'chat': 2, 'usb': 2, 'gcom': 10, 'usbmisc': 1, 'pl': 19, 'initd': 1, 'md': 2, 'guess': 1, 'rpath': 1, 'sub': 1, 'cc': 1, 'gperf': 1, 'c_shipped': 3, 'l': 1, 'y': 1, 'py': 7, 'pm': 1, '19': 45, '4': 55, 'dtsi': 196, 'dts': 965, 'scr': 1, '14': 21, 'openwrt': 1, 'ini': 2, 'inc': 1, 'bin': 6, 'images-bcm63xx': 1, 'squashfs': 1, 'builtin': 1, 'bootscript': 4, 'SDK': 1, 'TOOLCHAIN': 1, 'version': 2, '32': 2, '64': 2, 'n32': 2, 'cobalt': 1, 'e500': 1, 'leon': 1, 'ggo': 1}",8997,,False,False,
lisider/my_book,536042,"{'pdf': 63, 'PDF': 1, 'zip': 1, 'png': 1, 'c': 1, 'rar': 1, 'ppt': 7}",75,,False,False,
ericsson-mts/mts,295164,"{'': 314, 'prefs': 2, 'yml': 1, 'zip': 22, 'jar': 46, 'xml': 2035, 'properties': 204, 'gz': 3, 'csv': 59, 'txt': 34, 'md': 5, 'bat': 43, 'xls': 3, 'vbs': 1, 'sh': 25, 'ico': 1, 'png': 39, 'release': 3, 'solaris': 1, 'c': 2, 'h': 2, 'un~': 3, 'js': 13, 'json': 3, 'dtd': 10, 'asn1': 14, 'old': 7, 'asn': 71, 'jks': 2, 'keystore': 1, 'truststore': 1, 'pcap': 82, 'pdml': 30, 'yaml': 12, 'conf': 3, '3com': 1, '3gpp': 1, '3gpp2': 1, 'acc': 1, 'alcatel': 1, 'alteon': 1, 'altiga': 1, 'aptis': 1, 'ascend': 1, 'bay': 1, 'bintec': 1, 'bristol': 1, 'cablelabs': 1, 'cabletron': 1, 'cisco': 1, 'bbsm': 1, 'vpn3000': 1, 'vpn5000': 1, 'colubris': 1, 'columbia_university': 1, 'compat': 1, 'cosine': 1, 'ericsson': 1, 'erx': 1, 'extreme': 1, 'foundry': 1, 'freeradius': 1, 'gandalf': 1, 'garderos': 1, 'gemtek': 1, 'itk': 1, 'juniper': 1, 'karlnet': 1, 'livingston': 1, 'localweb': 1, 'merit': 1, 'microsoft': 1, 'mikrotik': 1, 'navini': 1, 'netscreen': 1, 'nokia': 1, 'nomadix': 1, 'propel': 1, 'quintum': 1, 'redback': 1, 'redcreek': 1, 'shasta': 1, 'shiva': 1, 'sonicwall': 1, 'springtide': 1, 't_systems_nova': 1, 'telebit': 1, 'trapeze': 1, 'tunnel': 1, 'unisphere': 1, 'unix': 1, 'usr': 1, 'valemount': 1, 'versanet': 1, 'wispr': 1, 'xedia': 1, 'xsd': 70, 'html': 6, 'css': 7, 'docx': 4, 'htm': 3, 'doc': 44, 'ppt': 3, 'jpg': 4, 'thmx': 1, 'groovy': 7, 'java': 717, 'form': 20, 'BAD': 1, 'dll': 3, 'so': 5, 'so_32bits_jdk7_centos_6_6_ok': 1, 'so_64bits_jdk8_centos_6_6_ok': 1, 'gif': 4, 'jmustache': 1, 'ldb': 1, 'mdb': 1, 'wav': 22, 'exe': 1, 'pcapng': 9, 'cap': 2, 'raw': 2, 'bmp': 1, 'jpeg': 1, 'tif': 1, 'tiff': 1, 'markdown': 1, 'TXT': 2, 'cfg': 1, 'wff': 1, 'back': 1, 'vbox': 2, 'xlsx': 2}",4112,,False,False,
openrocket/openrocket,221342,"{'': 22, 'xml': 14, 'yml': 1, 'md': 2, 'prefs': 5, 'TXT': 1, 'iml': 3, 'uxf': 3, 'uml': 1, 'umlseq': 1, 'txt': 15, 'tex': 10, 'eps': 77, 'fig': 37, 'pdf': 67, 'm': 7, 'csv': 9, 'png': 174, 'jpg': 60, 'dia': 1, 'mat': 3, 'ods': 1, 'jar': 50, 'eng': 12, 'gz': 71, 'xcf': 2, 'svg': 1, 'lights': 1, 'ico': 3, 'properties': 14, 'ser': 2, 'tour': 8, 'css': 3, 'ttf': 1, 'sh': 6, 'pl': 1, 'java': 1061, 'MF': 1, 'OptimizableParameterService': 1, 'SimulationModifierService': 1, 'ork': 17, 'rkt': 8, 'rse': 4, 'zip': 3, 'php': 2, 'html': 10, 'htc': 1, 'gif': 1, 'rsp': 2, 'htt': 1, 'htp': 8, 'def': 1, 'desktop': 1, 'yaml': 1, 'orc': 9, 'CSV': 58, 'glsl': 1}",1881,,False,False,
jnode/jnode,279938,"{'': 83, 'yml': 1, 'properties': 24, 'lst': 5, 'sh': 8, 'ipr': 1, 'sptl': 1, 'md': 1, 'prefs': 18, 'iml': 12, 'exe': 1, 'xml': 286, 'defaults': 1, 'template': 3, 'txt': 5, 'example': 1, 'png': 17, 's2': 2, 's15': 1, 'gz': 22, 's1': 1, 'bat': 3, 'jar': 71, 'icns': 1, 'java': 3293, 'html': 12, 'jj': 3, 'asm': 25, 'security': 1, 'policy': 1, 'ids': 1, 'h': 8, 'jtemplate': 1, 'pdf': 10, 'odp': 3, 'sxi': 2, 'ppt': 1, 'sxc': 1, 'sxd': 2, 'odg': 5, 'ext4': 1, 'ntfs': 1, 'dd': 23, 'bdf': 14, 'ttf': 8, 'dist': 2, 'psf': 1, '1': 2, '0': 1, '1-License': 1, 'zip': 1, 'mf': 1}",3994,,False,False,
frendyxzc/TabLayout,186,"{'': 4, 'txt': 1, 'md': 1, 'gradle': 4, 'pro': 2, 'java': 17, 'xml': 20, 'kt': 6, 'png': 16, 'properties': 2, 'jar': 1, 'bat': 1}",75,,False,False,
