full_name,size,formats,files,mirror_url,archived,disabled,info
sunny-mittal/starters,7508,"{'': 16, 'md': 13, 'babelrc': 5, 'editorconfig': 1, 'gitignore': 5, 'npmignore': 1, 'xml': 7, 'js': 58, 'json': 19, 'bin': 16, 'lock': 20, 'properties': 3, 'gradle': 6, 'java': 42, 'html': 6, 'bat': 14, 'png': 18, 'gitkeep': 5, 'scss': 1, 'vue': 3, 'eslintignore': 1, 'eslintrc': 1, 'ts': 1, 'log': 1}",263,,False,False,
derp-caf/packages_services_Telephony,46461,"{'mk': 9, 'xml': 560, '': 5, 'cfg': 1, 'gitignore': 1, 'md': 1, 'sh': 4, 'proto': 1, 'py': 1, 'txt': 1, 'flags': 2, 'png': 184, 'java': 189, 'logtags': 1, 'aidl': 2}",962,,False,False,
ApptuitAI/JInsight,1084,"{'': 6, 'xml': 3, 'yml': 1, 'md': 1, 'txt': 1, 'properties': 2, 'json': 2, 'spec': 1, 'java': 82, 'btm': 11}",110,,False,False,
ShifuML/guagua,949,"{'': 3, 'yml': 1, 'txt': 22, 'md': 3, 'xml': 10, 'sh': 7, 'java': 202, 'png': 2}",250,,False,False,
orcc/orcc,49265,"{'': 3, 'yml': 1, 'md': 8, 'odg': 1, 'pdf': 1, 'png': 9, 'sh': 3, 'xml': 26, 'py': 24, 'project': 16, 'properties': 16, 'classpath': 14, 'jar': 4, 'pydevproject': 1, 'prefs': 12, 'MF': 9, 'ecore': 8, 'genmodel': 5, 'ecorediag': 2, 'txt': 20, 'cmake': 4, 'c': 54, 'h': 85, 'cpp': 1, 'in': 1, 'html': 1, 'dll': 2, 'lib': 4, 'bat': 1, 'rb': 1, 'ld': 1, 'adf': 1, 'vhd': 14, 'tcl': 1, 'qpf': 1, 'qsf': 1, 'do': 1, 'cc': 1, 'opp': 1, 'template': 5, 'backends/runtime/TTA/libs/ttanetgen': 1, 'css': 1, 'exsd': 3, 'java': 696, 'xtend': 74, 'test': 1, 'z': 1, 'cal': 63, 'gitignore': 6, 'gif': 5, 'xtext': 1, 'ext': 1, 'mwe2': 1, 'javajetinc': 1, 'jetinc': 1, 'propertiesjetinc': 1, 'xmljetinc': 1, 'javajet': 11, 'propertiesjet': 2, 'mfjet': 1, 'xmljet': 2, 'layout': 11, 'xdf': 11}",1260,,False,False,
gooree/activiti-explorer,1939,"{'': 3, 'xml': 7, 'md': 3, 'sql': 1, 'java': 36, 'properties': 2, 'json': 7, 'tag': 1, 'jsp': 18, 'css': 32, 'png': 108, 'html': 59, 'js': 152, 'eot': 3, 'svg': 3, 'ttf': 3, 'woff': 3, 'gif': 5, 'map': 9, 'gitignore': 1, '5/CHANGES': 1, '5/LICENSE': 1, '6/LICENSE': 1, 'txt': 2}",461,,False,False,
ijpb/MorphoLibJ,22300,"{'': 1, 'yml': 1, 'sh': 1, 'enc': 1, 'txt': 1, 'md': 2, 'gitignore': 1, 'lyx': 1, 'bib': 1, 'png': 172, 'odg': 25, 'tif': 35, 'svg': 1, 'pdf': 1, 'sty': 1, 'xml': 1, 'java': 444, 'config': 1}",691,,False,False,
PhoenixDevTeam/Phoenix-for-VK,14554,"{'': 3, 'md': 1, 'jpg': 3, 'gitignore': 2, 'gradle': 4, 'jar': 2, 'pro': 2, 'png': 1072, 'xml': 480, 'aidl': 2, 'java': 1391, 'kt': 26, 'mp3': 2, 'properties': 2, 'bat': 1, 'cfg': 1, 'txt': 1}",2995,,False,False,
odinsbane/jfilament,463,"{'': 2, 'yml': 1, 'sh': 1, 'md': 1, 'xml': 1, 'java': 84, 'config': 1, 'html': 2}",93,,False,False,
NitorCreations/nflow,18312,"{'': 5, 'config': 2, 'prefs': 56, 'yml': 5, 'md': 10, 'pdf': 3, 'txt': 8, 'xml': 19, 'png': 14, 'svg': 4, 'plantuml': 4, 'java': 314, 'properties': 20, 'sql': 75, 'gitignore': 7, 'gradle': 2, 'jar': 3, 'bat': 3, 'kts': 2, 'js': 89, 'kt': 4, 'bowerrc': 1, 'editorconfig': 1, 'gitattributes': 1, 'jshintrc': 2, 'project': 1, 'json': 3, 'buildignore': 1, 'htaccess': 1, 'html': 31, 'ico': 2, 'gif': 1, 'css': 1, 'scss': 1, 'sh': 8, 'launch': 2, 'adoc': 1}",707,,False,False,
getsentry/react-native-sentry,50352,"{'yml': 5, '': 7, 'md': 6, 'sh': 4, 'json': 10, 'podspec': 1, 'gitignore': 2, 'gradle': 5, 'xml': 5, 'java': 5, 'png': 14, 'h': 2, 'm': 4, 'pbxproj': 2, 'xcworkspacedata': 2, 'plist': 6, 'js': 9, 'buckconfig': 1, 'flowconfig': 1, 'gitattributes': 1, 'watchmanconfig': 1, 'project': 2, 'prefs': 2, 'classpath': 1, 'bzl': 1, 'keystore': 1, 'pro': 1, 'properties': 4, 'jar': 1, 'bat': 1, 'lock': 3, 'xcscheme': 2, 'xib': 1, 'ts': 16, 'tsx': 1}",130,,False,False,getsentry/sentry-react-native
lcm-proj/lcm,8763,"{'': 18, 'yml': 1, 'txt': 30, 'md': 22, 'c': 55, 'h': 56, 'cmake': 13, 'in': 7, 'xml': 6, 'cfg': 1, 'html': 29, 'gitignore': 4, 'cpp': 12, 'cs': 25, 'csproj': 7, 'sln': 2, 'go': 6, 'java': 302, 'sh': 14, 'lcm': 18, 'lua': 3, 'm': 3, 'py': 13, 'classpath': 1, 'keystore': 1, 'project': 1, 'prefs': 1, 'shtml': 16, 'gif': 10, 'jpg': 2, 'png': 15, 'vsd': 1, 'jar': 9, 'css': 2, 'cache': 1, 'properties': 15, 'importorder': 1, 'mf': 1, '1': 9, 'rockspec': 1, 'hpp': 3, 'm4': 1, 'pump': 4, 'cc': 9}",751,,False,False,
docusign/docusign-java-client,46267,"{'': 2, 'yml': 1, 'md': 2, 'gradle': 2, 'properties': 4, 'jar': 1, 'xml': 5, 'java': 496, 'TXT': 1, 'png': 1, 'docx': 2, 'pdf': 1, 'txt': 1, 'mf': 1, 'css': 3}",523,,False,False,
pivotal-cf/platform-monitoring,22408,"{'': 2, 'md': 1, 'jar': 6, 'gradle': 1, 'properties': 3, 'bat': 1, 'txt': 1, 'sh': 1, 'java': 5}",21,,True,False,
team467/Robot2019-Competition,3889,"{'': 4, 'json': 7, 'code-workspace': 1, 'gradle': 2, 'jar': 1, 'properties': 1, 'bat': 1, 'yaml': 1, 'java': 66}",84,,False,False,team467/Robot-Competition
johnrjenson/JavaVsNode,51,"{'': 1, 'txt': 3, 'md': 1, 'json': 1, 'xml': 1, 'java': 6, 'js': 5}",18,,False,False,
eclipse/gerrit-cla-plugin,67,"{'': 3, 'prefs': 4, 'yml': 1, 'md': 3, 'factorypath': 1, 'gitignore': 1, 'xml': 2, 'java': 10}",25,,False,False,EclipseFdn/gerrit-eca-plugin
KomaRash/Out_phone,1373,"{'png': 28, 'md': 11, 'jpg': 1, 'gitignore': 2, 'ser': 1, 'xml': 25, 'iml': 2, 'ipr': 1, 'iws': 1, 'gradle': 3, 'jar': 3, 'pro': 1, 'java': 18, 'properties': 2, '': 1, 'bat': 1}",101,,False,False,
DrTTom/GordianKnot,688,"{'': 3, 'md': 1, 'gradle': 2, 'xml': 2, 'jar': 1, 'properties': 1, 'properties~': 1, 'bat': 1, 'java': 56, 'html': 1, 'css': 2, 'js': 3, 'png': 1, 'class': 1, 'txt': 1, 'conf': 1}",78,,False,False,
CAU-Kiel-Tech-Inf/socha,194589,"{'': 4, 'txt': 1, 'xml': 9, 'prefs': 6, 'yml': 2, 'md': 1, 'kts': 6, 'kt': 60, 'properties': 3, 'jar': 1, 'bat': 1, 'java': 126, 'xsl': 1, 'example': 1, 'production': 1, 'mf': 1, 'gradle': 1}",225,,False,False,
codenergic/theskeleton,668,"{'': 4, 'yml': 6, 'md': 1, 'xml': 2, 'adoc': 9, 'java': 166, 'txt': 1, 'yaml': 1, 'png': 1, 'html': 15, 'pem': 1}",207,,False,False,
dmillerw/Ping,346,"{'': 3, 'md': 1, 'gradle': 1, 'properties': 2, 'jar': 1, 'bat': 1, 'java': 17, 'toml': 1, 'json': 5, 'ogg': 1, 'png': 3, 'mcmeta': 1}",37,,False,False,GirafiStudios/Ping
