full_name,size,formats,files,mirror_url,archived,disabled,info
klmr92/uguu,2163398,"{'': 11, 'BSD': 1, 'GPLv3': 1, 'py': 25, 'ico': 1, 'patch': 2, 'c': 22, 'h': 37, 'cpp': 2, 'vcproj': 5, 'lib': 4, 'sln': 1, 'html': 19}",131,,False,False,
HanaAsakura/Juan_Aguilar_hw6,10319,"{'': 4, 'c': 2, 'py': 2, 'md': 1}",9,,False,False,asakura09/Juan_Aguilar_hw6
ArenMarkBoghozian/Mathematics,1239,"{'gitignore': 1, 'pro': 1, 'c': 1}",3,,False,False,ArenBoghozian8/Mathematics
libav/libav,88763,"{'': 1642, 'yml': 1, 'GPLv2': 1, 'GPLv3': 1, '1': 5, 'LGPLv3': 1, 'md': 1, 'gitignore': 17, 'mak': 70, 'sh': 7, 'c': 1563, 'h': 632, 'pl': 2, 'texi': 22, 'txt': 10, 'css': 1, 'html': 2, 'init': 1, 'S': 98, 'v': 7, 'asm': 72, 'm': 1, 'avpreset': 35, '6bit': 1, '0': 2, 'voc': 1, 'pnm': 1}",4197,,False,False,
Larzdk/Learning,1012,{'c': 3},3,,False,False,
OlsonDigital/cq-component-maven-plugin,3091,"{'': 3, 'md': 6, 'xml': 4, 'java': 394, 'groovy': 4, 'properties': 1, 'vm': 1}",413,,False,False,icfnext/cq-component-maven-plugin
locationtech/geowave,919478,"{'': 20, 'yml': 2, 'xml': 97, 'sh': 32, 'md': 11, 'java': 2175, 'PersistableRegistrySpi': 22, 'gitignore': 19, 'CLIOperationProviderSpi': 25, 'properties': 18, 'py': 70, 'FieldSerializationProviderSpi': 2, 'DimensionalityTypeProviderSpi': 2, 'avsc': 6, 'FileSystemProvider': 1, 'IngestUrlHandlerSpi': 1, 'LocalFileIngestPluginRegistrySpi': 1, 'ClassLoaderTransformerSpi': 2, 'DefaultConfigProviderSpi': 7, 'example': 1, 'template': 12, 'environment': 1, 'rsyslog': 1, 'service': 2, 'dockerfile': 4, 'pp': 11, 'spec': 4, 'repo': 2, 'install4j': 1, 'adoc': 97, 'txt': 108, 'png': 64, 'svg': 24, 'html': 2, 'ico': 1, 'eot': 3, 'ttf': 3, 'woff': 3, 'js': 9, 'webmanifest': 1, 'css': 12, 'jpg': 23, 'ipynb': 4, 'json': 5, 'sld': 12, 'csv': 3, 'AuthorizationFactorySPI': 1, 'proto': 8, 'GridFormatFactorySpi': 1, 'g4': 1, 'DataStoreFactorySpi': 1, 'ProcessFactory': 1, 'IndexQueryStrategySPI': 1, 'LockingManagementFactory': 1, 'ColumnVisibilityManagementSpi': 1, 'QueryOutputFormatSpi': 1, 'QLFunctionRegistrySpi': 1, 'Landsat8BandConverterSpi': 1, 'StoreFactoryFamilySpi': 9, 'FileSystemDataFormatterSpi': 1, 'IngestFormatPluginProviderSpi': 9, 'avro': 1, 'zip': 5, 'plt': 1, 'RasterMergeStrategyProviderSpi': 1, 'xsd': 2, 'gpx': 2, 'ftl': 3, 'placeholder': 1, 'gz': 1, 'ini': 1, 'GeoWaveGrpcServiceSpi': 1, 'yaml': 1, 'jp2': 1, 'gif': 2}",2987,,False,False,
nuxeo/nuxeo-session-inspector,229,,,,False,False,Empty
yenng/RNG,1547477,"{'': 4, 'h': 13, 's': 1, 'c': 6, 'md': 1, 'ld': 1, 'cogui': 1, 'comarker': 1, 'coproj': 1, 'bin': 1, 'elf': 1, 'hex': 1, 'map': 1, 'xml': 5, 'o': 7, 'txt': 2, 'png': 1, 'jpg': 3, 'html': 2, 'js': 1, 'css': 4}",58,,False,False,
JavaEden/Orchid,26119,"{'md': 252, 'yml': 22, '': 7, 'kts': 45, 'java': 145, 'kt': 614, 'js': 31, 'svg': 56, 'ico': 2, 'peb': 262, 'jar': 4, 'jpg': 12, 'sh': 11, 'properties': 6, 'bat': 2, 'cmd': 1, 'xml': 2, 'groovy': 10, 'sbt': 4, 'scala': 1, 'scss': 144, 'css': 4, 'png': 31, 'yaml': 1, 'gradle': 9, 'ad': 2, 'py': 1, 'toml': 1, 'html': 3, 'swift': 6, 'jpeg': 1}",1692,,False,False,orchidhq/Orchid
