full_name,size,formats,files,mirror_url,archived,disabled,info
ggreer/the_silver_searcher,2443,"{'': 5, 'yml': 1, 'md': 3, 'am': 1, 'w32': 1, 'sh': 8, 'ac': 1, '1': 1, 'm4': 1, 'c': 12, 'h': 11, 't': 44, 'py': 1, 'err': 1, 'pdf': 1, 'txt': 1, 'disabled': 1, 'in': 1}",95,,False,False,
irungentoo/toxcore,10353,"{'': 8, 'yml': 1, 'md': 12, 'am': 2, 'inc': 8, 'c': 72, 'h': 52, 'sh': 8, 'ac': 1, 'txt': 6, 'in': 3, 'm4': 3, 'py': 3, 'conf': 1, 'service': 1, 'png': 1, 'com': 1}",183,,False,False,
numpy/numpy,81293,"{'yml': 10, '': 23, 'd': 1, 'md': 14, 'txt': 22, 'in': 5, 'rst': 339, 'json': 1, 'py': 484, 'svg': 5, 'gitignore': 3, 'png': 38, 'tmpl': 1, 'html': 5, 'inc': 1, 'f90': 18, 'dat': 14, 'f': 15, 'pyf': 5, 'dia': 1, 'pdf': 2, 'fig': 1, 'pyx': 13, 'gif': 4, 'pxd': 5, 'pyi': 2, 'h': 118, 'c': 129, 'src': 35, 'pkl': 1, 'fits': 1, 'cfg': 1, 'f2py_f2cmap': 1, 'npy': 4, 'npz': 2, 'patch': 6, 'typed': 1, 'csv': 8, 'ini': 3, 'toml': 1, 'example': 1, 'js': 1, 'sh': 4, 'sed': 1, 'i': 9, 'swg': 1, 'cxx': 10}",1370,,False,False,
stedolan/jq,6848,"{'': 23, 'md': 3, 'yml': 11, 'am': 1, 'gitignore': 4, 'sh': 2, 'm4': 7, 'ac': 1, 'lock': 1, 'py': 4, 'htaccess': 1, 'css': 1, 'scss': 1, 'png': 1, 'js': 1, 'txt': 8, 'j2': 6, 'prebuilt': 1, 'spec': 1, 'in': 1, 'key': 1, 'asc': 33, 'c': 40, 'h': 31, 'jq': 17, 'html': 1, 'pdf': 1, 'l': 1, 'y': 1, 'test': 5, 'supp': 2, 'json': 2}",214,,False,False,
facebook/zstd,23846,"{'': 43, 'yml': 7, 'md': 33, 'gitignore': 21, 'vcproj': 8, 'sln': 4, 'props': 1, 'vcxproj': 8, 'rc': 3, 'cmd': 9, 'txt': 8, 'cmake': 5, 'in': 2, 'py': 9, 'build': 7, 'c': 137, 'sh': 32, 'cpp': 16, 'patch': 7, 'h': 98, 'diff': 2, 'clang-format': 1, 'lua': 2, 'png': 12, 'html': 2, 'inl': 2, 'yaml': 1, 'bat': 1, 'res': 2, '1': 3, 'zst': 1, 'gz': 1, 'cfg': 1, 'csv': 1}",490,,False,False,
memcached/memcached,,,,,,,API rate limit exceeded for 54.38.81.231. (But here's the good news: Authenticated requests get a higher rate limit. Check out the documentation for more details.)
git-up/GitUp,,,,,,,API rate limit exceeded for 54.38.81.231. (But here's the good news: Authenticated requests get a higher rate limit. Check out the documentation for more details.)
raspberrypi/linux,,,,,,,API rate limit exceeded for 54.38.81.231. (But here's the good news: Authenticated requests get a higher rate limit. Check out the documentation for more details.)
libgit2/libgit2,,,,,,,API rate limit exceeded for 54.38.81.231. (But here's the good news: Authenticated requests get a higher rate limit. Check out the documentation for more details.)
jonas/tig,6511,"{'': 145, 'yml': 2, 'adoc': 9, 'sh': 12, 'json': 1, 'md': 2, 'h': 43, 'c': 48, 'in': 5, 'ac': 1, 'tigrc': 5, 'make': 1, '1': 1, 'make-Darwin': 1, 'bash': 1, 'zsh': 1, 'conf': 1, 'yaml': 1, 'tgz': 6, 'gz': 1, 'expected': 1, 'supp': 1, 'dict': 1, 'm4': 5}",295,,False,False,
