full_name,size,formats,files,mirror_url,archived,disabled,info
christinacarlisle/SlugBooks,37675,"{'gitignore': 2, 'xml': 56, 'ser': 1, 'gradle': 3, 'json': 1, 'pro': 1, 'java': 30, 'png': 26, 'ttf': 4, 'TTF': 1, 'properties': 2, 'jar': 1, '': 2, 'bat': 1}",131,,False,False,
mklimek/frame-video-view,204,"{'': 2, 'md': 2, 'gradle': 3, 'properties': 2, 'jar': 1, 'bat': 1, 'gitignore': 1, 'java': 8, 'xml': 1}",21,,False,False,
YUKAI/konashi-android-sdk,1173,"{'': 3, 'py': 1, 'md': 1, 'gradle': 10, 'properties': 2, 'jar': 1, 'bat': 1, 'gitignore': 8, 'pro': 8, 'java': 108, 'xml': 61, 'groovy': 7, 'png': 34, 'yml': 1}",246,,False,False,
cloudfoundry-community/autosleep,3323,"{'': 5, 'xml': 8, 'yml': 2, 'md': 4, 'robot': 7, 'old': 1, 'py': 3, 'cfg': 1, 'feature': 3, 'txt': 5, 'gradle': 8, 'java': 116, 'yaml': 1, 'properties': 10, 'jar': 1, 'bat': 2, 'gitignore': 2, 'css': 13, 'map': 12, 'eot': 4, 'svg': 5, 'ttf': 4, 'woff': 4, 'woff2': 1, 'jpg': 1, 'png': 16, 'gif': 2, 'js': 8, 'tpl': 6}",255,,False,False,
xingli9/csye6225-fall2018,4013,"{'': 1, 'yml': 9, 'md': 5, 'sh': 9, 'DS_Store': 15, 'conf': 1, 'name': 2, 'xml': 24, 'MF': 2, 'java': 69, 'properties': 7, 'class': 30, 'war': 1, 'jsp': 2}",177,,False,False,
IamStY/SnowFalling,110,"{'': 2, 'ser': 1, 'xml': 17, 'md': 1, 'gitignore': 2, 'gradle': 4, 'pro': 2, 'java': 6, 'png': 6, 'properties': 2, 'jar': 1, 'bat': 1}",45,,False,False,
OpenSRP/opensrp-client-sid,33680,"{'': 4, 'yml': 1, 'md': 2, 'gradle': 5, 'jar': 10, 'properties': 7, 'exec': 4, 'txt': 1, 'pro': 3, 'java': 263, 'xml': 291, 'json': 121, 'zip': 1, 'so': 12, 'png': 192, 'gitignore': 1, 'jpg': 1, 'gif': 1}",920,,False,False,
biojava/biojava,47893,"{'': 5, 'yml': 1, 'md': 9, 'cff': 1, 'txt': 33, 'xml': 65, 'java': 1384, 'xsd': 2, 'gb': 25, 'fasta': 17, 'sto': 3, 'gz': 153, 'sth': 2, 'ResultFactory': 1, 'ab1': 1, 'selex': 1, 'blasttxt': 2, 'blastxml': 2, 'Z': 2, 'embl': 1, 'gff3': 4, 'fastq': 74, 'faa': 2, 'fna': 2, 'bcif': 5, 'cif': 9, 'pdb': 19, 'out': 2, 'list': 2, 'onto': 1, 'obo': 5, 'gitignore': 2, 'lst': 1, 'sh': 5, 'rec': 10, 'in': 1, 'png': 16, 'MF': 1, 'properties': 3, 'mat': 1, 'pairs': 1, 'mmtf': 1, 'tsv': 3, 'fatcat': 2, 'py': 1}",1883,,False,False,
imsweb/naaccr-xml,102266,"{'': 9, 'md': 24, 'gradle': 4, 'xml': 90, 'exe': 4, 'ico': 1, 'txt': 12, 'csv': 11, 'xlsx': 1, 'gz': 7, 'zip': 3, 'pdf': 1, 'sas': 11, 'map': 4, 'tpl': 1, 'jar': 1, 'properties': 5, 'bat': 1, 'dll': 62, 'policy': 7, 'security': 1, 'base/ADDITIONAL_LICENSE_INFO': 1, 'base/ASSEMBLY_EXCEPTION': 1, 'base/LICENSE': 1, 'datatransfer/ADDITIONAL_LICENSE_INFO': 1, 'datatransfer/ASSEMBLY_EXCEPTION': 1, 'datatransfer/LICENSE': 1, 'desktop/ADDITIONAL_LICENSE_INFO': 1, 'desktop/ASSEMBLY_EXCEPTION': 1, 'desktop/LICENSE': 1, 'logging/ADDITIONAL_LICENSE_INFO': 1, 'logging/ASSEMBLY_EXCEPTION': 1, 'logging/LICENSE': 1, 'prefs/ADDITIONAL_LICENSE_INFO': 1, 'prefs/ASSEMBLY_EXCEPTION': 1, 'prefs/LICENSE': 1, 'sql/ADDITIONAL_LICENSE_INFO': 1, 'sql/ASSEMBLY_EXCEPTION': 1, 'sql/LICENSE': 1, 'xa/ADDITIONAL_LICENSE_INFO': 1, 'xa/ASSEMBLY_EXCEPTION': 1, 'xa/LICENSE': 1, 'xml/ADDITIONAL_LICENSE_INFO': 1, 'xml/ASSEMBLY_EXCEPTION': 1, 'xml/LICENSE': 1, 'unsupported/ADDITIONAL_LICENSE_INFO': 1, 'unsupported/ASSEMBLY_EXCEPTION': 1, 'unsupported/LICENSE': 1, 'bfc': 1, 'src': 1, 'lib': 2, 'cfg': 1, 'ja': 1, 'certs': 1, 'dat': 2, 'java': 81, 'html': 1, 'png': 31, 'xsd': 10, 'XML': 8}",427,,False,False,
nuxeo/nuxeo-platform-forms-layout-demo,1327,{'md': 1},1,,False,False,nuxeo-archives/nuxeo-platform-forms-layout-demo
aixm/UML-to-XSD-scripts,41606,"{'classpath': 1, 'project': 1, 'eap': 3, 'gitignore': 1, 'class': 90, 'xsd': 18, '': 465, 'rtf': 10, 'txt': 5, 'html': 1, 'dll': 63, 'jsa': 1, 'exe': 23, 'cpl': 1, 'properties': 22, 'jar': 20, 'pf': 5, 'data': 1, 'zip': 1, 'manifest': 1, 'js': 1, 'xul': 1, 'rdf': 1, 'conf': 1, 'gif': 8, 'bfc': 1, 'src': 1, 'ttf': 8, 'cfg': 1, 'access': 1, 'template': 2, 'ja': 1, 'policy': 2, 'security': 1, 'png': 1, 'xls': 3, 'XLS': 1, 'dat': 1, 'MF': 1, 'java': 75, 'bat': 2, 'xsl': 1}",848,,False,False,
shay3yuda/CityOfAaronGroup1,249,"{'': 11, 'tmp': 3, 'xml': 4, 'txt': 1, 'mf': 1, 'properties': 2, 'java': 52, 'gitignore': 1, 'pdf': 1}",76,,False,False,
NativeScript/nativescript-cordova-imagepicker-showcase,2499,"{'': 1, 'md': 1, 'npmignore': 1, 'js': 8, 'json': 8, 'gradle': 2, 'java': 41, 'gitignore': 1, 'xml': 8, 'png': 46, 'plist': 1, 'storyboard': 1, 'xcconfig': 1, 'css': 1, 'ts': 1}",122,,False,False,
Countly/countly-sdk-js,13411,"{'': 37, 'js': 76, 'md': 11, 'log': 1, 'gitignore': 5, 'xml': 21, 'json': 29, 'iml': 6, 'gradle': 9, 'properties': 3, 'java': 52, 'css': 3, 'png': 141, 'html': 7, 'bat': 20, 'h': 60, 'm': 52, 'pbxproj': 3, 'plist': 11, 'pch': 3, 'lock': 2, 'sh': 3, 'xcscheme': 3, 'modulemap': 2, 'xcconfig': 9, 'markdown': 1, 'xcworkspacedata': 1, 'xcuserstate': 1, 'storyboard': 1, 'xib': 1, 'yml': 2, 'ts': 16, 'scss': 4, 'svg': 1}",597,,False,False,Countly/countly-sdk-cordova
diffplug/matfilerw,8335,"{'sh': 1, '': 4, 'yml': 1, 'md': 5, 'MF': 1, 'm': 8, 'gradle': 1, 'pdf': 1, 'properties': 2, 'xml': 2, 'importorder': 1, 'java': 56, 'jar': 1, 'bat': 1, 'png': 1, 'svg': 1, 'iml': 1, 'mat': 31}",119,,False,False,
zhumaer/zhuma,350,"{'': 7, 'cmd': 1, 'xml': 29, 'java': 193, 'properties': 27, 'yml': 6, 'factories': 2, 'sql': 2}",267,,False,False,
wudifamo/Neleme,785,"{'': 2, 'md': 1, 'gitignore': 1, 'gradle': 3, 'aar': 1, 'pro': 1, 'java': 31, 'xml': 38, 'png': 25, 'jpg': 9, 'jpeg': 1, 'properties': 2, 'jar': 1, 'bat': 1}",117,,False,False,
UKHomeOffice/hocs-alfresco,20310,"{'yml': 2, '': 2, 'xml': 77, 'iml': 4, 'md': 1, 'properties': 11, 'sh': 2, 'policy': 1, 'jar': 12, 'md5': 2, 'sha1': 18, 'pom': 9, 'ftl': 35, 'js': 16, 'acp': 3, 'bpmn': 15, 'java': 185, 'txt': 1, 'odt': 1, 'tif': 1, 'gitignore': 1}",399,,True,False,UKHomeOffice/old-hocs-alfresco
zc8424/QuantTester,6549,"{'': 4, 'prefs': 1, 'ini': 1, 'jar': 5, 'java': 161}",172,,False,False,
Tristan971/Lyrebird,6371,"{'md': 11, 'yml': 1, '': 2, 'png': 23, 'kra': 1, 'xml': 5, 'java': 138, 'properties': 3, 'json': 27, 'fxml': 21, 'mp4': 1, 'sh': 1, 'css': 1}",235,,False,False,
Nexmo/nexmo-java,3887,"{'cfg': 1, '': 5, 'md': 6, 'yml': 3, 'txt': 1, 'gradle': 1, 'jar': 1, 'properties': 1, 'bat': 1, 'java': 384, 'xml': 1, 'der': 1}",406,,False,False,
