name,size,stars,watches,forks,owner_type,if_fork,commits,branches,releases,contributors,projects,labels,milestones,open_issues,closed_issues,open_issues_recent,closed_issues_recent,open_prs,closed_prs,open_prs_recent,closed_prs_recent,age,recent_contributors,recent_commits,recent_added,recent_deleted,dependent_repositories,dependent_packages,repositories,people,followers,info
ohler55/oj,3810,2573,36,181,User,False,1246,5,186,72,,0,0,14,433,8,15,2,153,2,5,3013,3,20,239,121,10818,842,30,,151,
IoLanguage/io,26133,2168,145,268,Organization,False,2633,1,10,121,,0,0,54,189,0,0,3,184,0,0,4833,1,1,41,0,0,0,82,1,,
lloyd/yajl,2095,1944,94,390,User,False,275,9,20,20,,0,0,72,43,2,0,76,37,2,0,4196,0,0,0,0,0,0,120,,567,
universal-ctags/ctags,15215,3710,103,378,Organization,False,7838,18,0,126,,17,6,136,662,21,44,31,1732,5,125,5015,8,385,37112,253606,0,0,11,8,,
irssi/irssi,7581,2172,107,291,Organization,False,6144,5,70,91,,30,1,118,348,12,8,14,709,7,25,5778,4,30,864,397,0,0,4,14,,
libusb/libusb,4548,2585,262,1178,Organization,False,1519,1,340,143,,20,2,91,404,16,31,13,231,10,21,4301,13,99,11911,23466,0,0,4,4,,
Qihoo360/phptrace,1704,1618,158,403,Organization,False,502,1,7,10,,11,0,26,63,3,0,0,17,0,0,2019,0,0,0,0,0,0,58,7,,
raspberrypi/userland,35818,1649,256,940,Organization,False,799,3,0,85,,9,0,55,273,14,8,7,299,2,10,2789,8,36,1696,1358,0,0,25,1,,
tvheadend/tvheadend,59516,1753,256,745,Organization,False,10811,26,47,231,,0,0,,,,,20,1325,5,18,4693,6,24,82,91,0,0,8,3,,
audacity/audacity,197480,2948,191,723,Organization,False,12091,3,18,105,,19,3,55,58,50,36,12,442,3,76,1907,29,1063,760715,876757,0,0,5,4,,
veracrypt/VeraCrypt,179478,2499,179,442,Organization,False,1607,2,38,39,,7,0,328,192,51,8,13,98,7,2,2551,3,49,1838,690,24,2,8,,,
paparazzi/paparazzi,77100,1094,170,933,Organization,False,15595,31,58,107,,42,1,75,631,5,2,11,1821,8,46,5617,15,103,21662,3443,0,0,29,10,,
vlfeat/vlfeat,10399,1313,158,580,Organization,False,2059,2,26,18,,0,2,103,52,1,1,25,30,1,0,4735,0,0,0,0,0,0,9,,,
zephyrproject-rtos/zephyr,335072,3322,342,2025,Organization,False,41406,20,114,697,,177,10,1091,7999,463,847,578,16427,449,2998,2005,60,3843,496991,302523,0,0,69,13,,
megous/megatools,1,1466,90,182,User,False,2,1,0,1,,13,0,33,377,2,2,0,44,0,0,430,0,0,0,0,0,0,3,,75,
dlundquist/sniproxy,1094,1759,113,322,User,False,741,13,10,25,,11,0,79,179,8,1,11,88,2,2,3461,1,1,2,2,0,0,40,,69,
sgminer-dev/sgminer,16123,565,129,854,Organization,False,6498,6,13,84,,16,4,137,244,0,1,17,107,0,0,3398,0,0,0,0,0,0,1,,,
cesanta/v7,19733,1248,93,160,Organization,False,1911,7,3,17,,11,4,48,103,0,0,2,436,0,0,2376,0,0,0,0,0,0,58,1,,
google/honggfuzz,191908,1897,130,393,Organization,False,3780,2,18,45,,12,0,10,169,8,28,0,163,0,13,1837,11,331,7293,4831,0,0,1,1,,
haproxy-unofficial-obsolete-mirrors/haproxy,19218,919,98,317,Organization,False,6096,1,196,120,,6,0,,,,,0,20,0,0,4476,0,0,0,0,0,0,9,,,
a0rtega/pafish,1147,1397,159,303,User,False,166,2,16,9,,7,0,13,23,0,0,0,30,0,0,2397,0,0,0,0,0,0,15,,222,
netblue30/firejail,13076,2545,102,345,User,False,6232,8,48,192,,15,0,205,1973,63,180,8,1261,7,129,1774,29,439,47206,43044,0,0,6,,93,
panda-re/panda,169793,1626,141,386,Organization,False,54807,34,16,770,,7,1,62,211,28,19,7,396,4,111,4147,6,216,33088,28705,0,0,6,4,,
eunyoung14/mtcp,123163,1484,151,365,Organization,False,384,8,2,18,,8,0,62,189,14,5,3,45,3,2,2264,0,0,0,0,0,0,2,2,,eunyoung14/mtcp
jgarff/rpi_ws281x,362,1224,107,464,User,False,211,3,0,49,,8,0,67,216,8,4,2,117,1,5,2110,4,4,20,13,0,0,2,,63,
traviscross/mtr,1304,1446,87,245,User,False,656,4,73,53,,6,0,97,92,13,7,7,155,1,5,7906,4,8,34,14,0,0,103,,65,
Celtoys/Remotery,1231,1465,77,162,User,False,666,2,0,30,,7,0,28,74,0,0,2,63,0,3,2285,4,11,296,193,0,0,17,,94,
EtchedPixels/FUZIX,13728,1172,128,143,User,False,7573,1,0,30,,14,1,40,274,8,12,1,475,0,9,2054,5,14,85,67,0,0,24,,198,
the-tcpdump-group/tcpdump,25243,1325,122,574,Organization,False,6155,20,42,119,,60,2,60,491,12,11,33,273,2,19,7276,7,177,3772,2329,0,0,8,4,,
karlstav/cava,7041,1621,43,121,User,False,615,4,16,40,,6,0,12,203,3,26,0,146,0,43,2278,10,96,6610,4504,0,0,3,,29,
raysan5/raylib,343427,4075,187,474,User,False,3973,3,16,144,,14,0,15,694,12,135,0,558,0,86,2425,46,547,62202,88657,0,0,12,,662,
koush/android_system_core,2833,27,3,969,User,False,858,2,0,29,,0,0,,,,,0,0,0,0,4245,0,0,0,0,0,0,297,,165,
vmware/open-vm-tools,22284,1258,147,278,Organization,False,4654,30,88,9,,8,0,139,239,17,19,33,24,3,4,2173,1,120,6681,3188,0,0,193,149,,
nesbox/TIC-80,121703,1889,88,189,User,False,1227,3,31,41,,27,1,269,652,40,43,4,185,3,52,1438,12,136,94713,64208,0,0,22,,323,
iNavFlight/inav,250022,1288,149,741,Organization,False,9688,60,66,261,,22,3,312,2750,113,210,69,2694,31,213,2628,20,290,10595,7976,0,0,14,3,,
confluentinc/confluent-kafka-python,1816,1820,233,485,Organization,False,590,70,175,54,,22,1,184,427,75,30,21,263,8,40,1522,13,64,14885,1073,1298,106,168,170,,
openssh/openssh-portable,21760,1103,107,849,Organization,False,10541,53,140,51,,6,0,,,,,37,146,14,16,7535,10,352,10413,6885,0,0,3,,,
danielgtaylor/jpeg-archive,2052,1021,47,106,User,False,159,2,8,18,,6,0,36,52,3,1,4,27,1,2,2348,2,2,6,6,0,0,86,,271,
orangeduck/Corange,240515,1165,95,144,User,False,355,1,0,9,,0,0,9,24,6,0,1,24,1,4,3328,1,2,4,4,0,0,16,,1,
alibaba/ApsaraCache,69744,896,119,158,Organization,False,6408,3,0,229,,8,0,12,2,1,0,2,2,0,0,4098,0,0,0,0,0,0,318,151,,
bitcraze/crazyflie-firmware,13368,628,100,628,Organization,False,1559,17,26,56,,9,1,69,322,21,22,2,196,2,17,2642,9,110,32062,8732,0,0,46,8,,
seemoo-lab/nexmon,370754,1434,126,311,Organization,False,818,4,8,19,,13,0,204,132,24,20,18,54,4,2,1326,3,13,20205,45,0,0,47,6,,
libav/libav,88763,790,79,350,Organization,False,45232,9,116,495,,0,0,,,,,7,27,1,0,7101,0,0,0,0,0,0,3,4,,
commonmark/cmark,4681,984,46,332,Organization,False,2444,6,34,74,,7,0,25,154,7,8,6,153,0,12,2152,5,80,1276,752,0,0,5,1,,
checkpoint-restore/criu,17418,1111,73,263,Organization,False,10242,9,60,94,,33,3,283,488,41,47,33,297,25,109,3188,17,151,4658,1387,0,0,4,12,,
kaltura/nginx-vod-module,3985,1145,124,285,Organization,False,1283,9,31,18,,7,0,100,542,23,32,8,498,2,12,2159,3,19,1012,307,0,0,324,4,,
