name,size,stars,watches,forks,owner_type,if_fork,commits,branches,releases,contributors,projects,labels,milestones,open_issues,closed_issues,open_issues_recent,closed_issues_recent,open_prs,closed_prs,open_prs_recent,closed_prs_recent,age,recent_contributors,recent_commits,recent_added,recent_deleted,dependent_repositories,dependent_packages,repositories,people,followers,info
TEAM-RAZOR-DEVICES/device_oneplus_oneplus2_old,0,0,6,0,Organization,False,202,1,0,16,,7,0,0,0,0,0,0,0,0,0,2194,0,0,0,0,0,0,54,1,,
tsubone/hello-world,0,0,1,0,User,False,2,1,0,1,,7,0,0,0,0,0,0,0,0,0,1662,0,0,0,0,0,0,12,,0,
yujacha/command_hello,0,0,1,0,User,False,12,2,0,1,,7,0,0,0,0,0,0,0,0,0,1676,0,0,0,0,0,0,4,,0,
xaviedga/Mytest,0,0,1,0,Organization,False,2,1,0,1,,7,0,0,0,0,0,0,0,0,0,1655,0,0,0,0,0,0,1,,,
akshit-sharma/ODM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
huangjiehua/xiaohua,0,0,1,0,User,False,3,1,0,1,,7,0,0,0,0,0,0,0,0,0,1788,0,0,0,0,0,0,23,,1,
anontruck/Mytest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
wanksta/FirstCodeOnGitHub,0,0,1,0,User,False,2,1,0,1,,7,0,0,0,0,0,0,0,0,0,1585,0,0,0,0,0,0,3,,0,
HuyGemini/Array,0,1,1,2,User,False,2,1,0,1,,7,0,0,0,0,0,2,0,0,0,1571,0,0,0,0,0,0,5,,0,
mohanasundari/sample_repo_1,0,0,1,0,User,False,1,1,0,1,,7,0,0,0,0,0,0,0,0,0,1543,0,0,0,0,0,0,1,,0,
HyOsori/git_example,0,0,0,0,Organization,False,3,1,0,1,,7,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,33,,,
yoichiyaguchi/miru-wakate,0,0,1,0,User,False,2,2,0,1,,7,0,0,0,0,0,0,0,0,0,1417,0,0,0,0,0,0,1,,0,
mju-oss-class/sample_proj1,2,2,1,50,User,False,6,1,0,1,,9,0,0,0,0,0,1,0,0,0,199,0,0,0,0,0,0,18,,15,
michaelfeinberg/ListHW,0,0,1,0,User,False,2,1,0,1,,7,0,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0,22,,0,
yaejin91/the-c-programming-language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
nandujkishor/open-web-build,1,0,1,10,User,False,2,2,0,1,,7,0,0,0,0,0,16,0,0,0,1802,0,0,0,0,0,0,24,,9,
GMECE/PROGRAMS,0,0,0,0,User,False,1,1,0,1,,8,0,0,0,0,0,0,0,0,0,892,0,0,0,0,0,0,2,,0,
DevTLBB/Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
CPTS224/HW4,0,0,0,3,Organization,False,1,1,0,1,,8,0,0,0,0,0,0,0,0,0,955,0,0,0,0,0,0,9,,,
adarsh3010/example.c,0,0,0,0,User,False,1,1,0,1,,8,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,4,,0,
gandarela/LLRedBlack,0,0,0,0,User,False,1,1,0,1,,8,0,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0,7,,0,gandarela/LLRedBlack
brunomatheusc/Algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
Git-Math/malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
concretecloud/chirp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
ArenMarkBoghozian/Mathematics,0,0,0,0,User,False,1,1,0,1,,8,0,0,0,0,0,0,0,0,0,787,0,0,0,0,0,0,11,,3,ArenMarkBoghozian/Mathematics
zpfd3d/MyNote2,13,0,1,0,User,False,15,2,0,1,,8,0,,,,,0,0,0,0,1123,0,0,0,0,0,0,29,,0,
ArchSirius/inf2610,1417,0,1,2,User,False,24,1,0,1,,7,0,0,0,0,0,0,0,0,0,1711,0,0,0,0,0,0,22,,12,
nodemcu/nodemcu-firmware,111215,6081,563,2759,Organization,False,2251,5,27,152,,20,1,140,1743,55,50,32,1238,20,49,2047,18,61,75195,13360,0,0,5,6,,
lecram/gifenc,14,143,9,16,User,False,18,1,0,1,,7,0,1,4,0,0,1,0,0,0,1774,0,0,0,0,0,0,27,,45,
vasisht/fastq_splitter,5,2,1,1,User,False,5,1,0,1,,7,0,0,0,0,0,0,0,0,0,1361,0,0,0,0,0,0,4,,0,
alzomor/Test-Project,2,0,0,0,User,False,4,2,0,1,,8,0,0,0,0,0,0,0,0,0,899,0,0,0,0,0,0,1,,0,
iNavFlight/inav,250022,1288,149,741,Organization,False,9688,60,66,261,,22,3,312,2750,113,210,69,2694,31,213,2628,20,290,10595,7976,0,0,14,3,,
argyi2378/hello-world,2,0,0,0,User,False,4,1,0,1,,8,0,0,0,0,0,0,1,0,0,808,0,0,0,0,0,0,1,,0,
TadaNoButa/GTK_Glade_C_Treeview_Test,4,0,0,0,User,False,2,1,0,1,,8,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,2,,0,
openspaceaarhus/ZABLET,22648,5,8,0,Organization,False,33,1,0,3,,0,0,0,0,0,0,0,0,0,0,3412,0,0,0,0,0,0,24,11,,
Integreight/1Sheeld-Firmware,403,44,18,19,Organization,False,346,4,7,4,,7,0,0,0,0,0,0,2,0,0,2376,0,0,0,0,0,0,7,6,,
fcr--/lua-matrix,130,0,1,0,User,False,34,1,0,1,,8,0,7,10,0,0,0,0,0,0,724,0,0,0,0,0,0,45,,8,
medivhna/template_adaptation,2252,3,3,1,User,False,187,1,0,12,,7,0,1,0,0,0,0,0,0,0,2677,0,0,0,0,0,0,49,,19,
HybridAlpaca/Raptor,140439,1,2,0,Organization,False,192,2,0,1,,8,0,0,0,0,0,1,2,0,0,787,0,0,0,0,0,0,10,4,,
neftons-poker-lab/Poker_FSM,3332,0,1,1,Organization,False,2,2,1,1,,6,0,5,0,0,0,0,0,0,0,2383,0,0,0,0,0,0,3,1,,
christophbeatty/gnome-mplayer,9445,0,0,1,User,False,2418,3,38,1,,17,0,87,648,0,0,0,0,0,0,2915,0,0,0,0,0,0,1,,0,
Helioform/d3dRTCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
renkun/u8glib,13393,0,0,1,User,False,951,2,78,1,,38,0,79,271,0,0,0,0,0,0,2089,0,0,0,0,0,0,15,,4,
panaC/libft,156,0,1,0,User,False,98,1,0,1,,8,0,1,0,0,0,0,0,0,0,948,0,0,0,0,0,0,59,,12,
radiganm/sandbox,13020,1,1,0,User,False,104,1,0,1,,7,0,0,0,0,0,0,0,0,0,1095,0,0,0,0,0,0,161,,2,
ananjaser1211/RefinedNougat,222839,8,9,4,User,False,312,6,0,18,,8,0,0,0,0,0,0,1,0,0,2439,0,0,0,0,0,0,35,,115,
PierreBougon/RayTracer,84459,1,4,0,User,False,237,1,0,4,,7,0,0,0,0,0,0,0,0,0,1522,0,0,0,0,0,0,24,,14,
facchinm/Arduino_avrusb_firmware,1867,3,6,4,User,False,13,2,0,2,,7,0,3,0,0,0,0,0,0,0,1620,0,0,0,0,0,0,132,,200,
barryo/attila-libss7,220,2,1,1,User,False,57,1,0,1,,0,0,0,0,0,0,0,0,0,0,3076,0,0,0,0,0,0,30,,32,
JamesCrook/audacity-from-svn-5GB,162042,1,0,2,User,False,13946,2,0,1,,20,0,45,3,0,0,0,0,0,0,1907,1,1,3,3,0,0,12,,40,
meepingsnesroms/libretro-palmm515emu,28895,93,13,13,User,False,1014,9,1,4,,8,0,6,24,0,1,0,68,0,0,815,0,0,0,0,0,0,61,,31,meepingsnesroms/libretro-palmm515emu
msikma/liballeg.4.4.2-osx,1997,2,1,0,User,False,5,1,1,1,,7,0,1,0,0,0,0,0,0,0,1354,0,0,0,0,0,0,124,,48,
sylcrq/libevent,348,4,2,2,User,False,24,2,2,1,,7,0,0,0,0,0,0,0,0,0,2096,0,0,0,0,0,0,64,,37,
JvanKatwijk/swradio-8,35074,13,6,8,User,False,177,1,3,1,,8,0,0,1,0,0,0,0,0,0,843,1,2,34424,15067,0,0,29,,90,
f0rb1dd3n/cve-2010-4221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
essteban/ofxImageTS,10172,2,1,0,User,False,8,1,0,1,,7,0,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,37,,33,
escalade/LEDE,150815,14,4,2,User,False,47558,3,8,594,,8,0,0,0,0,0,0,1,0,0,5918,58,1040,1318771,1235469,0,0,12,,11,
rryqszq4/php7-ext-jsonrpc,75,7,2,4,User,False,13,1,0,1,,7,0,0,0,0,0,0,0,0,0,1655,0,0,0,0,0,0,48,,119,
eggfly/LinkItProjects,2222,4,1,6,User,False,59,1,0,1,,7,0,0,0,0,0,0,0,0,0,1683,0,0,0,0,0,0,681,,55,
keith-epidev/deltabot,65276,3,2,1,User,False,34,1,0,1,,6,0,0,0,0,0,0,0,0,0,2516,0,0,0,0,0,0,3,,5,
david-wang-1/ghost-mouse,6895,1,2,0,User,False,8,1,0,1,,7,0,0,0,0,0,0,0,0,0,1144,0,0,0,0,0,0,10,,4,
lldavuull/PWM,3433,1,0,2,User,False,15,2,0,1,,7,0,1,0,0,0,0,0,0,0,1123,0,0,0,0,0,0,7,,6,
bcomnes/fpga-lab,43404,3,1,0,User,False,27,1,1,1,,6,0,0,0,0,0,0,0,0,0,2747,0,0,0,0,0,0,407,,450,
RockySong/micropython-rocky,82287,142,16,70,User,False,201,5,8,5,,8,0,10,1,0,0,0,12,0,5,878,2,42,2521844,3975872,0,0,14,,62,
ghosoft/FlashLedSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
smurfjack/MJOY16-CN,10153,5,3,3,User,False,19,1,0,1,,7,0,0,0,0,0,0,0,0,0,1571,0,0,0,0,0,0,4,,0,
lalalaring/AdbWide,4460,3,3,3,User,False,6,1,0,1,,7,0,0,0,0,0,0,0,0,0,2201,0,0,0,0,0,0,446,,24,
pdroaugust/waytickets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
satanthedoge/Arduinomodule1,6794,0,0,0,User,False,27,1,0,3,,8,0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,0,7,,0,
arii/FollowTheYellowBrickRoad,1134,0,1,2,User,False,20,1,0,2,,7,0,0,1,0,0,0,1,0,0,1669,0,0,0,0,0,0,35,,54,
atrisovic/yadageexamples,2,0,0,0,User,False,4,1,0,1,,7,0,0,0,0,0,0,0,0,0,1375,0,0,0,0,0,0,42,,22,
SpicedEggs/decimal_turn,2,0,1,0,User,False,4,1,0,1,,7,0,0,0,0,0,0,0,0,0,1326,0,0,0,0,0,0,3,,0,
Nikesh001/android_kernel_xiaomi_msm8937,809431,4,0,8,User,False,532432,3,0,5944,,8,0,0,0,0,0,0,0,0,0,6639,0,0,0,0,0,0,37,,53,
mingzhou-yang/LeetCode,196,0,1,0,User,False,5,1,0,1,,7,0,0,0,0,0,0,0,0,0,2033,0,0,0,0,0,0,4,,1,
5icode/mydpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
sgfowler98/TCPServer,4,0,0,0,User,False,3,1,0,1,,8,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0,7,,0,
noitojp/nutil,92,1,1,1,User,False,5,1,0,1,,6,0,0,0,0,0,0,0,0,0,2985,0,0,0,0,0,0,9,,5,
kitsune-denshi/sysmon,449,1,1,0,User,False,5,1,0,1,,7,0,0,0,0,0,0,0,0,0,1599,0,0,0,0,0,0,2,,0,
onkar37/ROD,1422,0,0,0,User,False,10,1,0,1,,7,0,0,0,0,0,0,0,0,0,1354,0,0,0,0,0,0,4,,0,
shun-yo/cethping,160,0,0,0,User,False,14,1,0,1,,8,0,0,0,0,0,0,0,0,0,717,0,0,0,0,0,0,6,,3,
Swainstha/GPIB_To_DRAW,16009,0,0,0,User,False,4,1,0,1,,8,0,0,0,0,0,0,0,0,0,976,0,0,0,0,0,0,42,,9,
JIAQIA/static_power,360,0,1,0,User,False,6,1,0,1,,6,0,0,0,0,0,0,0,0,0,2628,0,0,0,0,0,0,9,,0,
sdu-hpcl/BGSA,1192,1,9,3,Organization,False,20,2,1,2,,7,0,0,0,0,0,0,1,0,0,1046,0,0,0,0,0,0,6,1,,
uccs/librte,952,2,9,0,Organization,False,156,3,0,3,,6,0,10,8,0,0,0,2,0,0,2495,0,0,0,0,0,0,2,,,
x42/convoLV2,182,16,8,4,User,False,159,3,25,3,,6,0,0,5,0,1,0,2,0,0,2852,1,3,23,14,0,0,109,,277,
FluidSynth/fluidsynth,6890,603,40,110,Organization,False,2108,8,29,38,,10,2,16,337,5,23,1,299,1,26,6303,7,82,2378,1868,0,0,1,2,,
vitasdk/samples,535,137,22,49,Organization,False,75,3,0,23,,7,0,2,10,1,1,2,41,0,1,1725,1,1,3,0,0,0,13,3,,
kuro68k/Retro-Adapter,16381,0,1,0,User,False,3,1,0,1,,7,0,0,0,0,0,0,0,0,0,1228,0,0,0,0,0,0,49,,3,
hachque-Emscripten/libpng-1.2.49,528,3,1,1,Organization,False,1,1,0,1,,6,0,2,0,0,0,0,0,0,0,2922,0,0,0,0,0,0,4,1,,
drhelius/Gearboy,56093,437,34,102,User,False,1399,2,24,21,,5,0,6,72,4,16,0,39,0,2,2873,1,234,243506,176853,0,0,42,,107,
aignacio/esp_rgb,620,0,0,0,User,False,1,1,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,0,0,77,,24,^M
az333/31-10-17-systems,2,0,1,0,User,False,3,1,0,0,,8,0,0,0,0,0,0,0,0,0,,,,,,0,0,40,,0,^M
MoMoWan/hello1,0,0,2,0,User,False,3,4,0,0,,7,0,1,0,0,0,1,0,0,0,,,,,,0,0,128,,0,^M
svn2github/ccl,6984,2,1,0,User,False,283,1,0,0,,7,0,2,0,0,0,0,0,0,0,,,,,,0,0,1,,302,^M
Unsonghero/home-exercise,0,0,0,0,User,False,1,1,0,0,,8,0,0,0,0,0,0,0,0,0,,,,,,0,0,2,,0,^M
MidweekGames/gmBASS,0,0,2,0,Organization,False,1,1,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,0,0,4,,,^M
gitpan/Net-Sharktools,220,0,4,0,Organization,False,7,1,23,0,,7,0,,,,,0,0,0,0,,,,,,0,0,36,2,,^M
wdzhu82/npapi-chrome-plugin-helloworld-example,0,0,0,0,User,False,3,2,0,0,,11,0,2,0,0,0,0,0,0,0,,,,,,0,0,1,,0,^M
pietrobarbiero/hello-world,0,0,0,0,User,False,22,2,0,0,,7,0,0,1,0,0,0,1,0,0,,,,,,0,0,17,,3,^M
neutrak/accirc,393,2,3,0,User,False,225,2,2,0,,7,0,0,1,0,0,0,0,0,0,,,,,,0,0,12,,3,^M
ColinGilbert/stringencoders,1456,0,0,0,User,False,414,2,0,0,,12,0,22,20,0,0,0,0,0,0,,,,,,0,0,139,,7,^M
mareku322/diosmios,208,0,0,0,User,False,22,2,0,0,,10,0,1,14,0,0,0,0,0,0,,,,,,0,0,1,,0,^M
satya1993/jenkins,2,0,0,0,User,False,6,2,0,1,,8,0,0,0,0,0,0,1,0,0,,,,,,0,0,4,,0,^M
